ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
S4802|134|3090|04019|AZ|Pima|6910|2724063|S4802 - 134|S4802|134|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7034|S4802 - 134
H2001|816|3090|04019|AZ|Pima|6090|495123|H2001 - 816|H2001|816|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1630|H2001 - 816
S5601|203|3090|04019|AZ|Pima|6050|2848516|S5601 - 203|S5601|203|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7243|S5601 - 203
H0609|808|3090|04019|AZ|Pima|5899|101336|H0609 - 808|H0609|808|Local CCP|HMO/HMOPOS|Yes|No|Yes|UnitedHealthcare Benefits of Texas, Inc.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (HMO)|UnitedHealth Group, Inc.|07/01/1986|546|H0609 - 808
S5921|409|3090|04019|AZ|Pima|5382|3337184|S5921 - 409|S5921|409|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Walgreens (PDP)|UnitedHealth Group, Inc.|01/01/2006|7709|S5921 - 409
S5884|207|3090|04019|AZ|Pima|4670|3299528|S5884 - 207|S5884|207|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7631|S5884 - 207
S4802|231|3090|04019|AZ|Pima|2646|2739799|S4802 - 231|S4802|231|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Medicare Rx Value Plus (PDP)|Centene Corporation|01/01/2006|7093|S4802 - 231
S5884|174|3090|04019|AZ|Pima|2389|3290179|S5884 - 174|S5884|174|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7598|S5884 - 174
S5921|380|3090|04019|AZ|Pima|2282|3330377|S5921 - 380|S5921|380|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY|UnitedHealthcare|AARP MedicareRx Saver Plus (PDP)|UnitedHealth Group, Inc.|01/01/2006|7680|S5921 - 380
S5884|146|3090|04019|AZ|Pima|2164|3281564|S5884 - 146|S5884|146|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7570|S5884 - 146
S5617|138|3090|04019|AZ|Pima|1914|2922086|S5617 - 138|S5617|138|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Secure Rx (PDP)|CIGNA|01/01/2006|7288|S5617 - 138
S8841|803|3090|04019|AZ|Pima|1753|3490030|S8841 - 803|S8841|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|OptumRx CORE Silver 2022 - CY (PDP)|UnitedHealth Group, Inc.|01/01/2007|7939|S8841 - 803
H5521|801|3090|04019|AZ|Pima|1316|1866246|H5521 - 801|H5521|801|Local CCP|Local PPO|No|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan (PPO)|CVS Health Corporation|01/01/2006|4928|H5521 - 801
S5660|801|3090|04019|AZ|Pima|1113|2955403|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S3285|803|3090|04019|AZ|Pima|923|2587678|S3285 - 803|S3285|803|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MG INSURANCE COMPANY|MG Insurance Company|VibrantRx (PDP)|MedImpact Holdings, Inc.|01/01/2019|6958|S3285 - 803
H2001|817|3090|04019|AZ|Pima|795|498393|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S5601|805|3090|04019|AZ|Pima|787|2862806|S5601 - 805|S5601|805|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7255|S5601 - 805
S5617|273|3090|04019|AZ|Pima|729|2935709|S5617 - 273|S5617|273|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Extra Rx (PDP)|CIGNA|01/01/2006|7335|S5617 - 273
H5216|224|3090|04019|AZ|Pima|683|1775272|H5216 - 224|H5216|224|Local CCP|Local PPO|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|HumanaChoice H5216-224 (PPO)|Humana Inc.|07/01/2005|4283|H5216 - 224
S5617|307|3090|04019|AZ|Pima|637|2942151|S5617 - 307|S5617|307|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Essential Rx (PDP)|CIGNA|01/01/2006|7369|S5617 - 307
H5521|100|3090|04019|AZ|Pima|607|1858591|H5521 - 100|H5521|100|Local CCP|Local PPO|Yes|No|No|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Freedom Plan (PPO)|CVS Health Corporation|01/01/2006|4773|H5521 - 100
H5216|213|3090|04019|AZ|Pima|566|1774004|H5216 - 213|H5216|213|Local CCP|Local PPO|No|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Honor (PPO)|Humana Inc.|07/01/2005|4272|H5216 - 213
H9572|802|3090|04019|AZ|Pima|520|2483379|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
H5216|263|3090|04019|AZ|Pima|505|1778152|H5216 - 263|H5216|263|Local CCP|Local PPO|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|HumanaChoice H5216-263 (PPO)|Humana Inc.|07/01/2005|4318|H5216 - 263
S5660|806|3090|04019|AZ|Pima|487|2968127|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H2001|847|3090|04019|AZ|Pima|466|588401|H2001 - 847|H2001|847|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1661|H2001 - 847
S5601|811|3090|04019|AZ|Pima|412|2881904|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
H2001|837|3090|04019|AZ|Pima|403|555809|H2001 - 837|H2001|837|Local CCP|Local PPO|Yes|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1651|H2001 - 837
H5216|197|3090|04019|AZ|Pima|394|1772424|H5216 - 197|H5216|197|Local CCP|Local PPO|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Value Plus H5216-197 (PPO)|Humana Inc.|07/01/2005|4260|H5216 - 197
S8841|810|3090|04019|AZ|Pima|378|3502707|S8841 - 810|S8841|810|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|OPTUM INSURANCE OF OHIO, INC.|Optum Insurance of Ohio, Inc.|MPSERS 2022 (PDP)|UnitedHealth Group, Inc.|01/01/2007|7943|S8841 - 810
H5216|805|3090|04019|AZ|Pima|375|1781615|H5216 - 805|H5216|805|Local CCP|Local PPO|Yes|No|Yes|HUMANA INSURANCE COMPANY|Humana|Humana Medicare Employer (PPO)|Humana Inc.|07/01/2005|4356|H5216 - 805
H5521|802|3090|04019|AZ|Pima|365|1869519|H5521 - 802|H5521|802|Local CCP|Local PPO|Yes|No|Yes|AETNA LIFE INSURANCE COMPANY|Aetna Medicare|Aetna Medicare Plan w/Rx (PPO)|CVS Health Corporation|01/01/2006|4929|H5521 - 802
