ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber:1|PlanID:1|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id:1
H2001|817|45940|48453|TX|Travis|15968|501037|H2001 - 817|H2001|817|Local CCP|Local PPO|No|No|Yes|SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.|UnitedHealthcare|UnitedHealthcare Group Medicare Advantage (PPO)|UnitedHealth Group, Inc.|08/01/2005|1631|H2001 - 817
S5820|833|45940|48453|TX|Travis|12284|3249522|S5820 - 833|S5820|833|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|UNITEDHEALTHCARE INSURANCE COMPANY|UnitedHealthcare|UnitedHealthcare MedicareRx for Groups (PDP)|UnitedHealth Group, Inc.|01/01/2006|7531|S5820 - 833
S4802|155|45940|48453|TX|Travis|5228|2730279|S4802 - 155|S4802|155|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7055|S4802 - 155
S5660|801|45940|48453|TX|Travis|4697|2958048|S5660 - 801|S5660|801|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7383|S5660 - 801
S5601|815|45940|48453|TX|Travis|4587|2897248|S5601 - 815|S5601|815|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group SF (PDP)|CVS Health Corporation|01/01/2006|7265|S5601 - 815
S5601|197|45940|48453|TX|Travis|4263|2846802|S5601 - 197|S5601|197|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript SmartRx (PDP)|CVS Health Corporation|01/01/2006|7237|S5601 - 197
S5884|201|45940|48453|TX|Travis|3067|3297911|S5884 - 201|S5884|201|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Walmart Value Rx Plan (PDP)|Humana Inc.|01/01/2006|7625|S5884 - 201
S5884|143|45940|48453|TX|Travis|2850|3279973|S5884 - 143|S5884|143|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7567|S5884 - 143
S5617|108|45940|48453|TX|Travis|2548|2920325|S5617 - 108|S5617|108|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|CIGNA HEALTH AND LIFE INSURANCE COMPANY|Cigna|Cigna Secure Rx (PDP)|CIGNA|01/01/2006|7282|S5617 - 108
S5884|168|45940|48453|TX|Travis|2355|3288703|S5884 - 168|S5884|168|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Premier Rx Plan (PDP)|Humana Inc.|01/01/2006|7592|S5884 - 168
