ContractNumber|PlanID|SSAStateCountyCode|FIPSStateCountyCode|State|County|Enrollment|EnrollmentSerial|id|ContractNumber|PlanID|OrganizationType|PlanType|OffersPartD|SNPPlan|EGHP|OrganizationName|OrganizationMarketingName|PlanName|ParentOrganization|ContractEffectiveDate|ContractSerial|id
H0524|805|5200|06037|CA|Los Angeles|86282|97650|H0524 - 805|H0524|805|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|335|H0524 - 805
S5884|114|5200|06037|CA|Los Angeles|60811|3271542|S5884 - 114|S5884|114|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|HUMANA INSURANCE COMPANY|Humana|Humana Basic Rx Plan (PDP)|Humana Inc.|01/01/2006|7552|S5884 - 114
S5601|811|33700|36103|NY|Suffolk|41716|2883678|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
H9572|802|23810|26163|MI|Wayne|41062|2484586|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5660|806|23810|26163|MI|Wayne|38733|2969334|S5660 - 806|S5660|806|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY|Express Scripts Medicare|Express Scripts Medicare (PDP)|CIGNA|01/01/2006|7387|S5660 - 806
H0524|806|5440|06067|CA|Sacramento|37979|97919|H0524 - 806|H0524|806|Local CCP|HMO/HMOPOS|Yes|No|Yes|KAISER FOUNDATION HP, INC.|Kaiser Permanente|Kaiser Permanente Senior Advantage (HMO)|Kaiser Foundation Health Plan, Inc.|08/01/1987|336|H0524 - 806
H9572|802|23620|26125|MI|Oakland|35952|2484567|H9572 - 802|H9572|802|Local CCP|Local PPO|No|No|Yes|BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY|Blue Cross Blue Shield of Michigan|Medicare Plus Blue PPO Employer CY (PPO)|Blue Cross Blue Shield of Michigan Mutual Ins. Co.|01/01/2010|6681|H9572 - 802
S5601|811|33400|36059|NY|Nassau|32546|2883656|S5601 - 811|S5601|811|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|Yes|SILVERSCRIPT INSURANCE COMPANY|Aetna Medicare|SilverScript Group - State of NY (PDP)|CVS Health Corporation|01/01/2006|7261|S5601 - 811
S4802|134|3060|04013|AZ|Maricopa|29912|2724060|S4802 - 134|S4802|134|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7034|S4802 - 134
S4802|151|14141|17031|IL|Cook|28922|2728372|S4802 - 151|S4802|151|Medicare Prescription Drug Plan|Medicare Prescription Drug Plan|Yes|No|No|WELLCARE PRESCRIPTION INSURANCE, INC.|Wellcare|Wellcare Value Script (PDP)|Centene Corporation|01/01/2006|7051|S4802 - 151
