Previous 1929 High,Previous 1929 Low,Stock,Sales,High,Low,Close,Previous Close
57.875,38.125,Abitibi Power & Paper,17,52.25,51.5,51.5,51.625
,,Abitibi Power & Paper pf,,,,,
159.5,101,Abraham Strauss,4,105,103,103,103.5
96,84.75,Adams Express pf,1,90,90,90,90
35.875,27.125,Adams Millis,5,28,28,28,28.25
104.875,15,Advance-Rumley,1,20,19,19,20
119,31.5,Advance-Rumley pf,2,31,31,31,32
4.875,1.125,Ahumada Lead,6,1.25,1.25,1.25,1.25
221,95.125,Air Reduction,57,206,200,202.5,208
11.25,2.5,Ajax Rubber,22,3.5,3.25,3.25,3.5
10.25,4.5,Alaska Juneau,22,7.125,6.75,6.75,6.75
25,12,Albany P W Paper,14,14,13.5,13.5,14
56.5,27.625,Alleghany Corp,383,41.875,39.25,39.25,41
118.75,99.125,Alleghany Corp pf,7,107.75,107.25,107.25,107.5
87.5,80.125,Alleghany C pf xw,2,86,85.625,86,85.5
354.75,241,Allied Chemical & Dye,58,303,296,297,301.5
125,120.25,Allied Chemical & Dye pf,3,122.5,122.5,122.5,122.5
75.5,56.5,Allis Chalm n,63,58.5,57,58,56.5
,,Alpha Port Cement,3,30,29,29,29
,,Amerada Corp,12,27,25.125,25.125,26.875
,,American Agriculture Chemical,7,9,8.625,8.625,9
,,American Agriculture Chemical pf,1,37,37,37,37.25
,,American Bank Note,16,133,125,125,137
,,American Beet Sugar,2,13,11.875,11.875,12
,,American Beet Sugar pf,5,50.625,50,50,51
,,American Bosch Magneto,29,56.5,51.5,51.5,57.75
,,American Brake Shoe,7,54,53.5,54,54
,,American Brown Bov Electric,12,15.5,15,15,15
,,Amer Can,310,158.75,154.75,155.25,156
,,Amer Can pf,,,,,
,,American Car and Foundry Company,13,92,90.5,91.25,91
,,American Car and Foundry Company pf,,,,,
,,Am Chicle,1,58,54.5,54.5,60
,,Am Com Alc,19,40,39.5,39.5,42
,,Am Encaust Til,1,28,28,28,28.25
,,Am European Sec,33,61,55,59,60
,,American & For Power,450,134.5,127.5,127.75,131.5
,,American & For Power pf,7,107,107,107,107
,,American & For Pw 2d pf,1,94,94,94,94.5
,,American Hawaiian,11,30,28,29,29
,,American Hide & Leather,,,,,
,,American Hide & Leather pf,,,,,
,,American Home Prd,15,60.25,59.125,59.125,60.125
,,American Ice,5,43.125,43,43,44
,,American International,104,76,70.5,71.25,74.5
,,American La F & Foamite,5,3.875,3.125,3.125,4
,,American Locomotive,10,110.5,110,110,110.125
,,American Locomotive pf,,,,,
,,American Mach & Fdy,2,250.25,250,250,255
,,American Metal,25,65.75,64.5,65.75,66
,,American Metal pf,,,,,
,,American Piano,,,,,
,,American Power & Light,58,111,105.5,105.5,112.125
,,American Power & Light pf,,,,,
,,American Power & Light pf A,1,75,75,75,75
,,American Power & Light pf A st,5,84,82,83,84
,,American Ra&Std San,93,44.25,42.5,42.5,44.375
,,American Republics,4,34,34,34,37
,,American Roll Mill,70,123.25,120.125,122.875,122
,,American Safety Raz,4,63.25,62,63.25,64
,,American Seating,2,32.25,32,32,32.5
,,American Ship & Com,2,2.5,2.25,2.25,2.25
,,American Sm & Ref,110,107.25,104,104,106
,,American Sm & Ref pf,,,,,
,,American Snuff,1,42,42,42,42.125
,,American Steel Fdy,20,54.75,53,53.5,55
,,American Stores,7,65.125,64,65.125,65
,,American Sugar Rfg,10,75.125,73.5,73.5,73.75
,,American Sugar Rfg pf,2,106,106,106,106
,,American Sumatra,5,38.5,38,38,40
,,American Tel & Ca,,,,,
,,American Tel & Tel,229,284.5,278.5,280.5,281.75
,,American Tobacco,32,224,215,216.25,216
,,American Tobacco B,78,224.5,215,217.75,218.5
,,American Tobacco pf,1,116.5,116.5,116.5,116
,,American Type Foundry,,,,,
,,American Water Works cl,95,143.25,131.25,131.25,142
,,American Woolen,18,12,11.125,11.875,12.5
,,American Woolen pf,8,31.375,31,31,31.375
,,American Writ Paper ctfs.,11,12,11,11,12
,,Am Zinc Ld&Sm,17,17.875,16.5,16.625,17.125
,,Am Zinc pf,2,91.5,90,90,93
,,Anaconda Copr,735,108.625,105.25,106.125,107.75
,,Anaconda W&C,2,75,74.25,74.25,75.25
,,Anchor Cap,38,65.125,54,57,67
,,Andes Copper,21,48.625,47.75,47.75,48.875
,,Archer-Dan-M,8,36.25,35,35,39
,,Armour Del pf,,,,,
,,Armour Ill A,33,9.875,9.5,9.5,9.875
,,Armour Ill B,28,5.5,5,5,5.5
,,Armour Ill pf,1,70.5,70.5,70.5,71.5
,,Arnold Constable,1,21,21,21,22
,,Asso Appl Ind,2,47,47,47,47.25
,,Asso Dry G,26,47,46,46,46.375
,,Atch T&S Fe,46,276,267.5,267.5,275.825
,,Atch T&SF pf,6,103.75,102.375,102.375,103.625
,,Atl Coast Line,2,184.875,183.5,183.5,186
,,Atl G&W Indies,25,81.375,78.875,78.875,81.125
,,Atl Refining,151,56,53.5,53.5,55
,,Atlas Powder,12,119,115.25,117.625,119.25
,,Auburn Auto,11,375,330,335,375
,,Austin Nichols,4,7,6.5,7,6.125
,,Autosales,,,,,
,,Autosales pf,3,28.375,28.25,28.25,28.5
,,Auto-Strop Raz,,,,,
,,Aviation Corp. Del.,72,10.625,10.125,10.25,10.625
,,,,,,,
,,Baldwin Locomotive,72,43,40,40,44.25
,,Baltimore & Ohio,75,131,128.125,128.125,129.5
,,Bang & Aroos,7,80,77.625,77.625,78.375
,,Barnet Leather,,,,,
,,Barnsdall,42,32,30.5,30.5,32.375
,,Beacon Oil,14,27.5,26,26.5,27.5
,,Beatrice Cream,7,115,110,110,113
,,Beatrice Cream pf,1,105.5,105.5,105.5,105
,,Beech-Nut Pack,6,80,79.875,80,79.5
,,Belding-Heminway,1,10.375,10.375,10.375,10.375
,,Belg Nat Rys pf,,,,,
,,Bendix Aviation,4,57,54,54,55.5
,,Best & Company,20,56.875,53.625,53.625,55.625
,,Bethlehem Steel,865,111.5,109.75,110.375,111
,,Bethlehem Steel pf,3,126.125,125.5,126.125,125.5
,,Bloomingdale Brothers,,,,,
,,Bohn Alumn & B,18,90,87,87,94
,,Booth Fisheries,2,5,4.75,5,5
,,Borden Co,47,84,82.375,82.625,83.5
,,Borg Warner,37,53,50,50,53
,,Boston & Maine,,,,,
,,Botany Con M,2,8,7.125,7.125,7.125
